,City,Latitude,Longitude
0,"Chicago, IL",41.8781,-87.6298
1,"Atlanta, GA",33.749,-84.388
2,"Dallas/Fort Worth, TX",32.7767,-96.797
3,"Denver, CO",39.7392,-104.9903
4,"New York, NY",40.7128,-74.006
5,"Charlotte, NC",35.2271,-80.8431
6,"Houston, TX",29.7604,-95.3698
7,"Los Angeles, CA",34.0522,-118.2437
8,"Washington, DC",38.9072,-77.0369
9,"Seattle, WA",47.6062,-122.3321
10,"Phoenix, AZ",33.4484,-112.074
11,"Las Vegas, NV",36.1699,-115.1398
12,"Detroit, MI",42.3314,-83.0458
13,"San Francisco, CA",37.7749,-122.4194
14,"Minneapolis, MN",44.9778,-93.265
15,"Orlando, FL",28.5383,-81.3792
16,"Newark, NJ",40.7357,-74.1724
17,"Boston, MA",42.3601,-71.0589
18,"Philadelphia, PA",39.9526,-75.1652
19,"Salt Lake City, UT",40.7608,-111.891
20,"Fort Lauderdale, FL",26.1224,-80.1373
21,"Baltimore, MD",39.2904,-76.6122
22,"Miami, FL",25.7617,-80.1918
23,"San Diego, CA",32.7157,-117.1611
24,"Nashville, TN",36.1627,-86.7816
25,"Tampa, FL",27.9506,-82.4572
26,"Portland, OR",45.5051,-122.675
27,"Austin, TX",30.2672,-97.7431
28,"Dallas, TX",32.7767,-96.797
29,"St. Louis, MO",38.627,-90.1994
30,"Raleigh/Durham, NC",35.7796,-78.6382
31,"San Jose, CA",37.3382,-121.8863
32,"Sacramento, CA",38.5816,-121.4944
33,"Kansas City, MO",39.0997,-94.5786
34,"Honolulu, HI",21.3069,-157.8583
35,"New Orleans, LA",29.9511,-90.0715
36,"Oakland, CA",37.8044,-122.2711
37,"Indianapolis, IN",39.7684,-86.1581
38,"Pittsburgh, PA",40.4406,-79.9959
39,"Cleveland, OH",41.4993,-81.6944
40,"Cincinnati, OH",39.1031,-84.512
41,"Columbus, OH",39.9612,-82.9988
42,"Santa Ana, CA",33.7455,-117.8677
43,"Fort Myers, FL",26.6406,-81.8723
44,"San Antonio, TX",29.4241,-98.4936
45,"Milwaukee, WI",43.0389,-87.9065
46,"Jacksonville, FL",30.3322,-81.6557
47,"San Juan, PR",18.4655,-66.1057
