City;Latitude;Longitude;airport_encoded
Aberdeen, SD;454.647;-984.865;0
Abilene, TX;324.487;-997.331;1
Adak Island, AK;518.789;-176.658;2
Aguadilla, PR;184.274;-671.546;3
Akron, OH;410.814;-81.519;4
Alamosa, CO;374.695;-105.87;5
Albany, GA;315.785;-841.557;6
Albany, NY;426.526;-737.562;7
Albuquerque, NM;350.844;-1.066.504;8
Alexandria, LA;313.113;-924.451;9
Allentown/Bethlehem/Easton, PA;406.023;-754.714;10
Alpena, MI;450.617;-834.327;11
Amarillo, TX;352.211;-1.018.302;12
Anchorage, AK;612.181;-1.499.003;13
Appleton, WI;442.611;-884.134;14
Arcata/Eureka, CA;408.021;-1.241.637;15
Asheville, NC;355.951;-825.515;16
Ashland, WV;384.192;-82.429;17
Aspen, CO;391.911;-1.068.175;18
Atlanta, GA;33.749;-84.388;19
Atlantic City, NJ;393.643;-744.229;20
Augusta, GA;334.735;-820.105;21
Austin, TX;302.672;-977.431;22
Bakersfield, CA;353.733;-1.190.187;23
Baltimore, MD;392.904;-766.122;24
Bangor, ME;448.012;-687.778;25
Barrow, AK;712.906;-1.567.887;26
Baton Rouge, LA;304.515;-911.871;27
Beaumont/Port Arthur, TX;299.511;-939.357;28
Belleville, IL;385.201;-899.839;29
Bellingham, WA;487.519;-1.224.787;30
Bemidji, MN;474.717;-948.829;31
Bend/Redmond, OR;440.582;-1.213.153;32
Bethel, AK;607.922;-1.617.558;33
Billings, MT;457.833;-1.085.007;34
Binghamton, NY;420.987;-759.179;35
Birmingham, AL;335.207;-868.025;36
Bishop, CA;373.635;-1.183.951;37
Bismarck/Mandan, ND;468.083;-1.007.837;38
Bloomington/Normal, IL;404.842;-889.937;39
Boise, ID;43.615;-1.162.023;40
Boston, MA;423.601;-710.589;41
Bozeman, MT;456.769;-1.110.429;42
Brainerd, MN;46.358;-942.006;43
Branson, MO;366.437;-932.185;44
Bristol/Johnson City/Kingsport, TN;364.752;-824.732;45
Brownsville, TX;259.018;-974.975;46
Brunswick, GA;311.499;-814.915;47
Buffalo, NY;428.864;-788.784;48
Bullhead City, AZ;351.359;-1.145.286;49
Burbank, CA;341.808;-1.183.089;50
Burlington, VT;444.759;-732.121;51
Butte, MT;459.909;-1.125.018;52
Cape Girardeau, MO;373.059;-895.182;53
Casper, WY;428.501;-1.063.252;54
Cedar City, UT;376.775;-1.130.619;55
Cedar Rapids/Iowa City, IA;419.779;-916.656;56
Champaign/Urbana, IL;401.164;-882.434;57
Charleston, SC;327.765;-799.311;58
Charleston/Dunbar, WV;38.351;-816.385;59
Charlotte Amalie, VI;183.419;-649.307;60
Charlotte, NC;352.271;-808.431;61
Charlottesville, VA;380.293;-784.767;62
Chattanooga, TN;350.456;-853.097;63
Cheyenne, WY;411.399;-1.048.202;64
Chicago, IL;418.781;-876.298;65
Christiansted, VI;177.445;-647.034;66
Cincinnati, OH;391.031;-84.512;67
Clarksburg/Fairmont, WV;392.796;-803.445;68
Cleveland, OH;414.993;-816.944;69
Cody, WY;445.263;-1.090.565;70
Cold Bay, AK;552.059;-1.627.253;71
College Station/Bryan, TX;30.628;-963.344;72
Colorado Springs, CO;388.339;-1.048.214;73
Columbia, MO;389.517;-923.341;74
Columbia, SC;340.007;-810.348;75
Columbus, GA;324.605;-849.877;76
Columbus, MS;334.957;-884.273;77
Columbus, OH;399.612;-829.988;78
Concord, NC;354.088;-805.795;79
CONCORD, NC;354.094;-805.795;80
Cordova, AK;605.439;-1.457.575;81
Corpus Christi, TX;278.006;-973.964;82
Dallas, TX;327.767;-96.797;83
Dallas/Fort Worth, TX;327.767;-96.797;84
Dayton, OH;397.589;-841.916;85
Daytona Beach, FL;292.108;-810.228;86
Deadhorse, AK;701.944;-1.484.653;87
Decatur, IL;398.403;-889.548;88
Del Rio, TX;293.659;-1.008.954;89
Denver, CO;397.392;-1.049.903;90
Des Moines, IA;415.868;-93.625;91
Detroit, MI;423.314;-830.458;92
Devils Lake, ND;481.128;-988.651;93
Dickinson, ND;468.792;-1.027.896;94
Dillingham, AK;590.449;-158.505;95
Dodge City, KS;377.528;-1.000.171;96
Dothan, AL;312.232;-853.905;97
Dubuque, IA;425.006;-906.646;98
Duluth, MN;467.867;-921.005;99
Durango, CO;372.753;-1.078.801;100
Eagle, CO;396.357;-1.069.107;101
Eau Claire, WI;448.113;-914.985;102
El Paso, TX;317.619;-106.485;103
Elko, NV;408.324;-1.157.631;104
Elmira/Corning, NY;421.601;-768.919;105
Erie, PA;421.292;-800.851;106
Escanaba, MI;457.456;-870.646;107
Eugene, OR;440.521;-1.230.868;108
Evansville, IN;379.716;-875.711;109
Everett, WA;479.784;-1.222.021;110
Fairbanks, AK;648.378;-1.477.164;111
Fargo, ND;468.772;-967.898;112
Fayetteville, AR;360.626;-941.574;113
Fayetteville, NC;350.527;-788.784;114
Flagstaff, AZ;351.981;-1.116.513;115
Flint, MI;430.125;-836.875;116
Florence, SC;341.954;-797.626;117
